epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.635327160358429,1.2029495239257812,0.001,0.9589568972587585,0.12461503595113754
1,0.9252389073371887,0.24369396269321442,0.001,0.9789115786552429,0.09158626198768616
2,0.9507495760917664,0.16482782363891602,0.001,0.9902494549751282,0.03602982312440872
3,0.9592378735542297,0.1392485499382019,0.001,0.9909297227859497,0.03661840781569481
4,0.9641537666320801,0.12497271597385406,0.001,0.9897959232330322,0.038110315799713135
5,0.9690238237380981,0.11275310069322586,0.001,0.9884353876113892,0.03625798225402832
6,0.9847027659416199,0.05293885990977287,0.000100000005,0.994557797908783,0.023426316678524017
7,0.9882599115371704,0.0386175811290741,0.000100000005,0.9950113296508789,0.01993720792233944
8,0.9890565872192383,0.038345761597156525,0.000100000005,0.9950113296508789,0.02123531885445118
9,0.9889163970947266,0.03682275488972664,0.000100000005,0.994557797908783,0.02080713026225567
